diagnosis,area_se,concavity_worst,area_mean,smoothness_mean,concavity_mean,smoothness
M,153.4,0.7119,1001,0.1184,0.3001,Smooth
M,74.08,0.2416,1326,0.08474,0.0869,Rough
M,94.03,0.4504,1203,0.1096,0.1974,Smooth
M,27.23,0.6869,386.1,0.1425,0.2414,Smooth
M,94.44,0.4,1297,0.1003,0.198,Smooth
M,27.19,0.5355,477.1,0.1278,0.1578,Smooth
M,53.91,0.3784,1040,0.09463,0.1127,Rough
M,50.96,0.2678,577.9,0.1189,0.09366,Smooth
M,24.32,0.539,519.8,0.1273,0.1859,Smooth
M,23.94,1.105,475.9,0.1186,0.2273,Smooth
M,40.51,0.1459,797.8,0.08206,0.03299,Rough
M,54.16,0.3965,781,0.0971,0.09954,Smooth
M,116.2,0.3639,1123,0.0974,0.2065,Smooth
M,36.58,0.2322,782.7,0.08401,0.09938,Rough
M,19.21,0.6943,578.3,0.1131,0.2128,Smooth
M,32.55,0.7026,658.8,0.1139,0.1639,Smooth
M,45.4,0.2914,684.5,0.09867,0.07395,Smooth
M,54.18,0.4784,798.8,0.117,0.1722,Smooth
M,112.4,0.5372,1260,0.09831,0.1479,Smooth
B,23.56,0.239,566.3,0.09779,0.06664,Smooth
B,14.67,0.189,520,0.1075,0.04568,Smooth
B,15.7,0.08867,273.9,0.1024,0.02956,Smooth
M,44.91,0.6305,704.4,0.1073,0.2077,Smooth
M,93.99,0.3155,1404,0.09428,0.1097,Rough
M,102.6,0.4695,904.6,0.1121,0.1525,Smooth
M,111.4,0.3853,912.7,0.1186,0.2229,Smooth
M,21.05,0.5539,644.8,0.1054,0.1425,Smooth
M,93.54,0.3446,1094,0.0944,0.149,Rough
M,43.5,0.6335,732.4,0.1082,0.1683,Smooth
M,61.1,0.2489,955.1,0.09847,0.09875,Smooth
M,105,0.6133,1088,0.1064,0.2319,Smooth
M,41,0.6956,440.6,0.1109,0.1218,Smooth
M,67.78,0.5588,899.3,0.1197,0.2417,Smooth
M,68.17,0.6091,1162,0.09401,0.1657,Rough
M,35.03,0.5274,807.2,0.104,0.1354,Smooth
M,45.19,0.5409,869.5,0.0961,0.1348,Smooth
M,24.91,0.5186,633,0.09823,0.1319,Smooth
B,14.16,0.04833,523.8,0.08983,0.02562,Rough
M,106,0.02398,698.8,0.09387,0.02398,Rough
M,18.52,0.503,559.2,0.1016,0.1063,Smooth
M,20.53,0.2085,563,0.08162,0.0311,Rough
M,16.97,0.4023,371.1,0.1227,0.1044,Smooth
M,104.9,0.7242,1104,0.09081,0.2107,Rough
M,31.33,0.3664,545.2,0.1041,0.09847,Smooth
M,14.49,0.3728,531.5,0.09714,0.08259,Smooth
M,71.56,0.7345,1076,0.1099,0.1974,Smooth
B,8.205,0.0688,201.9,0.086,0.01588,Rough
M,24.25,0.5006,534.6,0.1158,0.1226,Smooth
B,19.87,0.305,449.3,0.1031,0.06592,Smooth
B,20.2,0.2282,561,0.08752,0.04751,Rough
B,28.47,0.05523,427.9,0.08637,0.01657,Rough
B,14.55,0.105,571.8,0.07685,0.01857,Rough
B,17.47,0.09203,437.6,0.08261,0.01972,Rough
M,98.81,0.2623,1033,0.1148,0.1772,Smooth
M,29.91,0.2712,712.8,0.09056,0.05253,Rough
B,23.47,0.09076,409,0.09524,0.03036,Rough
M,102.5,0.3879,1152,0.1053,0.1323,Smooth
M,40.09,0.3587,656.9,0.1137,0.1293,Smooth
B,32.96,0.001845,527.2,0.0806,6.92e-4,Rough
B,8.322,0.1168,224.5,0.09752,0.02061,Smooth
B,34.62,0.02168,311.9,0.1134,0.01084,Smooth
B,18.39,0.09001,221.8,0.1243,0.03,Smooth
M,60.78,0.6922,645.7,0.1049,0.2135,Smooth
B,23.52,0.1397,260.9,0.07721,0.05988,Rough
M,36.46,0.4024,499,0.1122,0.1128,Smooth
M,35.24,0.3024,668.3,0.1172,0.1267,Smooth
B,14.2,0.09412,269.4,0.1044,0.02172,Smooth
B,18.15,0.1444,394.1,0.08139,0.03709,Rough
B,17.67,1.252,250.5,0.1066,0.313,Smooth
B,18.33,0.1039,502.5,0.09831,0.03653,Smooth
M,96.05,0.2687,1130,0.09009,0.108,Rough
B,25.44,0.1434,244,0.09783,0.08606,Smooth
M,69.47,0.6566,929.4,0.1071,0.1692,Smooth
M,23.35,0.2779,584.1,0.1007,0.07789,Smooth
B,19.68,0.1703,470.9,0.09172,0.03372,Rough
M,79.25,0.2829,817.7,0.09168,0.09769,Rough
B,32.65,0.08539,559.2,0.1291,0.06877,Smooth
M,134.8,0.3786,1006,0.1065,0.1684,Smooth
M,116.4,0.7681,1245,0.1286,0.3754,Smooth
B,20.35,0.1731,506.3,0.09934,0.03889,Smooth
B,24.62,0.1755,401.5,0.1102,0.04591,Smooth
B,12.96,0.4858,520,0.10780000000000001,0.1169,Smooth
M,120,0.6476,1878,0.1063,0.3339,Smooth
M,67.1,0.2432,1132,0.1215,0.1937,Smooth
B,16.16,0.2267,443.3,0.09723,0.04151,Smooth
M,80.6,0.3157,1075,0.09874,0.1335,Smooth
M,38.87,0.3349,648.2,0.09444,0.1204,Rough
M,57.65,0.5755,1076,0.09029,0.1468,Rough
B,20.95,0.2434,466.1,0.08772,0.06015,Rough
B,42.76,0.2604,651.9,0.1132,0.09966,Smooth
B,33.76,0.09189,662.7,0.08974,0.03102,Rough
M,29.44,0.2846,728.2,0.092,0.1122,Rough
B,36.35,0.135,551.7,0.07355,0.03261,Rough
B,25.22,0.1381,555.1,0.1022,0.03974,Smooth
M,47.14,0.5203,705.6,0.1039,0.17,Smooth
M,87.87,0.4098,1264,0.09078,0.1465,Rough
B,24.44,0.0498,451.1,0.1045,0.0249,Smooth
B,20.05,0.02049,294.5,0.1024,0.006829,Smooth
B,15.75,0.1922,412.6,0.08983,0.04196,Rough
M,26.85,0.3194,642.5,0.09752,0.09388,Smooth
M,43.14,0.3169,582.7,0.09488,0.08625,Rough
B,9.833,0,143.5,0.117,0,Smooth
B,14.68,0.1145,458.7,0.08013,0.02383,Rough
B,11.77,0.2644,298.3,0.1005,0.06154,Smooth
B,23.13,0.07987,336.1,0.09989,0.02995,Smooth
M,34.66,0.6376,530.2,0.1398,0.2071,Smooth
B,20.62,0.2873,412.5,0.1142,0.0707,Smooth
B,9.227,0.1937,466.7,0.08477,0.02643,Rough
M,170,0.9608,1509,0.1326,0.4264,Smooth
B,16.41,0.312,396.5,0.08759,0.05133,Rough
B,22.87,0.13,290.2,0.1037,0.04334,Smooth
B,20.48,0.2216,480.4,0.09933,0.1065,Smooth
B,29.25,0.6783,629.9,0.07837,0.3003,Rough
B,19.91,0.1295,334.2,0.1122,0.06476,Smooth
B,8.966,0.2456,230.9,0.115,0.04132,Smooth
B,24.79,0.1503,438.6,0.09768,0.03328,Smooth
B,16.94,0.1544,245.2,0.09462,0.09263,Rough
M,41.18,0.4704,682.5,0.1162,0.169,Smooth
M,58.63,0.7356,782.6,0.1155,0.2133,Smooth
M,54.04,0.2249,982,0.08402,0.07293,Rough
B,10.5,0.2102,403.3,0.09373,0.03512,Rough
M,90.47,0.3272,1077,0.1054,0.1457,Smooth
M,233,0.5803,1761,0.1447,0.4268,Smooth
B,24.19,0.256,640.7,0.1101,0.08842,Smooth
B,14.66,0.3308,553.5,0.07115,0.08092,Rough
B,17.91,0.08115,588.7,0.08785,0.0142,Rough
M,19.83,0.3796,572.6,0.09258,0.05285,Rough
M,81.23,0.3207,1138,0.082170000000000007,0.09271,Rough
B,39.84,0.196,674.5,0.115,0.1138,Smooth
M,63.33,0.5673,1192,0.1015,0.2545,Smooth
B,15.24,0.09915,455.8,0.1066,0.02855,Smooth
M,48.31,0.3791,748.9,0.1092,0.1466,Smooth
M,43.68,0.2992,809.8,0.1008,0.1043,Smooth
B,27.94,0.1709,761.7,0.09462,0.07135,Rough
M,68.35,0.3965,1075,0.0943,0.1153,Rough
M,19.87,0.2177,506.3,0.09055,0.04711,Rough
B,34.37,0.1046,423.6,0.1051,0.03592,Smooth
B,12.67,0.1399,399.8,0.09639,0.03503,Smooth
M,101.9,0.3355,678.1,0.1167,0.1539,Smooth
B,26.33,0.08669,384.8,0.1164,0.04635,Smooth
B,12.26,0,288.5,0.0925,0,Rough
M,74.08,0.2802,813,0.09721,0.09447,Smooth
B,21.38,0.07708,398,0.1092,0.02031,Smooth
B,16.64,0.209,512.2,0.08677,0.04894,Rough
B,17.74,0.09755,355.3,0.07793,0.02251,Rough
B,25.03,0.0942,432.8,0.1152,0.0371,Smooth
M,24.72,0.4504,432,0.1091,0.1659,Smooth
B,39.43,0.25,689.5,0.08138,0.0905,Rough
B,21.2,0.3103,640.1,0.0997,0.08487,Smooth
B,21.47,0.1564,585,0.07944,0.02881,Rough
B,34.78,0.08112,519.4,0.1135,0.03136,Smooth
B,10.21,0.5381,203.9,0.09405,0.1321,Rough
B,49.85,0.8216,300.2,0.1072,0.4108,Smooth
B,15.48,0.07116,381.9,0.09754,0.01982,Smooth
B,22.79,0.3009,538.9,0.09384,0.09293,Rough
B,16.51,0.1943,460.3,0.08654,0.03885,Rough
M,93.91,0.3583,963.7,0.1115,0.1855,Smooth
B,46.61,0.1882,880.2,0.07445,0.0515,Rough
B,13.25,0.08636,448.6,0.09311,0.01972,Rough
B,18.54,0.01854,366.8,0.07515,0.00309,Rough
B,38.34,0.1956,419.8,0.1089,0.06843,Smooth
M,119.3,0.2264,1157,0.08694,0.1193,Rough
M,97.07,0.681,1214,0.112,0.2508,Smooth
B,21.55,0.1688,464.5,0.1012,0.0537,Smooth
M,97.85,0.3948,1686,0.08439,0.1324,Rough
B,16.64,0.0775,690.2,0.08421,0.01947,Rough
B,11.48,0.1047,357.6,0.09594,0.02531,Smooth
M,67.34,0.2318,886.3,0.08865,0.08422,Rough
M,122.3,0.489,984.6,0.1049,0.2159,Smooth
B,24.28,0.06648,685.9,0.09855,0.02602,Smooth
B,17.43,0.1242,464.1,0.1028,0.03987,Smooth
M,43.4,0.2644,565.4,0.09048,0.05858,Rough
M,44.64,0.583,736.9,0.1257,0.2032,Smooth
B,19.08,0.03938,372.7,0.1006,0.02363,Smooth
B,21.98,0,349.6,0.08792,0,Rough
B,11.36,0,227.2,0.09138,0,Rough
B,27.48,0.3486,302.4,0.09699,0.1307,Smooth
M,31.59,0.5862,832.9,0.09831,0.1793,Smooth
B,14.34,0.007977,526.4,0.06251,0.001595,Rough
B,21.79,0.02758,508.8,0.08739,0.009193,Rough
M,128.7,0.534,2250,0.1094,0.2871,Smooth
M,81.46,0.678,1311,0.1141,0.2487,Smooth
M,40.98,0.2902,766.6,0.09597,0.06593,Smooth
B,22.77,0.1648,402,0.09059,0.06181,Rough
M,19.53,0.363,710.6,0.09057,0.05375,Rough
B,26.43,0.00692,317.5,0.09267,0.001597,Rough
M,28.92,0.3538,1041,0.08588,0.08169,Rough
B,17.86,0.1521,420.3,0.09774,0.03809,Smooth
B,14.47,0.08803,428.9,0.1007,0.02353,Smooth
B,18.32,0.1423,463.7,0.0808,0.03844,Rough
M,31.72,0.8488,609.9,0.1075,0.1981,Smooth
B,53.65,0.05186,507.4,0.08749,0.03112,Rough
B,21.69,0,288.1,0.0695,0,Rough
M,34.44,0.4425,477.4,0.1034,0.1085,Smooth
M,25.2,0.4589,671.4,0.1044,0.1697,Smooth
B,15.75,0.1764,516.4,0.07941,0.03873,Rough
M,49.7,0.3809,588.9,0.12,0.1385,Smooth
M,76.36,0.2535,1024,0.07371,0.1103,Rough
M,54.22,0.3865,1148,0.08523,0.1114,Rough
M,19.42,0.4967,642.7,0.09872,0.118,Smooth
B,27.24,0.1377,461,0.09586,0.04187,Rough
M,40.73,0.3508,951.6,0.08968,0.1036,Rough
M,83.16,0.7892,1685,0.1141,0.3523,Smooth
M,52.72,0.4646,597.8,0.1323,0.1558,Smooth
B,30.29,0.2671,481.9,0.09965,0.08005,Smooth
M,26.44,0.3327,716.6,0.08876,0.0755,Rough
B,12.33,0.06213,295.4,0.1089,0.01756,Smooth
M,68.46,0.1932,904.3,0.08772,0.0695,Rough
B,15.09,0.3162,529.4,0.1002,0.08705,Smooth
B,20,0.2962,725.5,0.08182,0.05892,Rough
M,111.7,0.3861,1290,0.0909,0.164,Rough
B,17.12,0.1471,428,0.08871,0.02669,Rough
M,525.6,0.3201,2499,0.1142,0.3201,Smooth
M,58.53,0.2803,948,0.1006,0.1682,Smooth
M,31,0.3744,610.7,0.09463,0.1115,Rough
M,22.69,0.4636,578.9,0.1026,0.09901,Smooth
B,21.46,0.2806,432.2,0.09363,0.06636,Rough
B,22.79,0.1925,321.2,0.08054,0.05774,Rough
M,124.4,0.3617,1230,0.09383,0.1272,Rough
M,109.9,0.3995,1223,0.0842,0.1145,Rough
B,17.4,0.1759,568.9,0.09646,0.03888,Smooth
B,21.03,0.2577,561.3,0.1051,0.0786,Smooth
B,15.05,0.06572,313.1,0.1061,0.01768,Smooth
M,32.19,0.3976,761.3,0.1025,0.1147,Smooth
B,24.68,0.1786,546.4,0.08445,0.03554,Rough
B,48.29,0.1632,641.2,0.09906,0.05724,Smooth
B,11.86,0.02639,329.6,0.1053,0.006643,Smooth
B,19.88,0.3402,684.5,0.08371,0.06505,Rough
B,18.51,0.3911,496.4,0.07903,0.05438,Rough
M,25.13,0.6282,503.2,0.1088,0.1695,Smooth
M,31.98,0.5018,895,0.1141,0.191,Smooth
B,8.605,0.1089,395.7,0.06883,0.01633,Rough
B,15.46,0.02318,386.8,0.0778,0.004967,Rough
M,70.01,0.4146,1319,0.09159,0.1554,Rough
B,12.64,0.07161,279.6,0.08464,0.01652,Rough
B,22.07,0.06231,603.4,0.0907,0.01462,Rough
M,155.8,0.582,1670,0.09509,0.195,Rough
M,83.5,0.3158,1306,0.08355,0.09042,Rough
B,29.96,0.3064,623.9,0.08223,0.1103,Rough
M,49,0.3241,920.6,0.09812,0.1417,Smooth
B,27.19,0.1533,575.3,0.09423,0.04705,Rough
B,9.006,0.06243,476.5,0.07926,0.01053,Rough
B,16.39,0.7436,389.4,0.09592,0.1548,Smooth
B,39.93,0.1359,590,0.08043,0.04697,Rough
M,60.41,0.3458,1155,0.1027,0.2049,Smooth
B,23.22,0.1181,337.7,0.107,0.04831,Smooth
B,13.56,0.2298,541.6,0.07215,0.04336,Rough
B,16.35,0.7727,512.2,0.0876,0.1374,Rough
B,16.64,0.1125,347,0.09657,0.02379,Smooth
B,18.62,0.1804,406.3,0.1013,0.04328,Smooth
M,137.9,0.6991,1364,0.1007,0.2712,Smooth
B,26.99,0.08105,407.4,0.09345,0.02638,Rough
M,92.81,0.8489,1206,0.1062,0.2417,Smooth
M,33.63,0.3378,928.2,0.1008,0.1266,Smooth
M,71,0.4317,1169,0.1035,0.1379,Smooth
M,35.74,0.3209,602.4,0.1096,0.09789,Smooth
M,106.4,0.4251,1207,0.0926,0.1784,Rough
M,59.46,0.4429,713.3,0.1335,0.2448,Smooth
M,138.5,0.6181,773.5,0.1109,0.3176,Smooth
M,23.02,0.5703,744.9,0.1063,0.1751,Smooth
M,52.34,0.3788,1288,0.1,0.1519,Smooth
M,44.41,0.1211,933.1,0.08662,0.02891,Rough
M,90.94,0.2298,947.8,0.08999,0.09697,Rough
M,22.18,0.226,758.6,0.0784,0.04209,Rough
M,45.42,0.3889,928.3,0.09726,0.09061,Smooth
M,199.7,0.3442,1419,0.09469,0.1367,Rough
B,27.1,0.1916,346.4,0.09688,0.06387,Smooth
B,26.76,0.1453,561,0.07956,0.04072,Rough
B,18.24,0.1992,512.2,0.09425,0.039,Rough
B,20.74,0.2534,344.9,0.1082,0.08448,Smooth
B,10.77,0.03866,632.6,0.06429,0.00725,Rough
B,13.17,0.1275,388,0.09834,0.03265,Smooth
M,156.8,0.5807,1491,0.09401,0.2195,Rough
B,16.39,0.04043,289.9,0.09037,0.01103,Rough
M,45.81,0.208,998.9,0.08855,0.05699,Rough
B,48.84,0.07153,435.6,0.1225,0.05929,Smooth
B,17.09,0.004955,396.6,0.09379,0.001487,Rough
M,36.74,0.221,1102,0.08923,0.0802,Rough
B,22.22,0.106,572.3,0.07948,0.01997,Rough
B,19.41,0.1456,587.4,0.09516,0.04479,Rough
M,69.65,0.5754,1138,0.102,0.1921,Smooth
B,37.83,0.06735,427.3,0.07813,0.02245,Rough
M,53.16,0.4316,1145,0.1037,0.1626,Smooth
M,28.09,0.5026,805.1,0.1066,0.1948,Smooth
