diagnosis,area_se,concavity_worst,area_mean,smoothness_mean,concavity_mean,smoothness
B,23.29,0.3344,516.6,0.07818,0.1115,Rough
B,22.45,0.005579,489,0.08393,0.0018600000000000001,Rough
B,21.91,0.2365,441,0.08605,0.06574,Rough
B,12.68,0.1186,515.9,0.06955,0.0226,Rough
B,34.68,0.1546,394.1,0.0802,0.09274,Rough
B,17.49,0.07529,396,0.08713,0.02399,Rough
B,77.11,0.222,651,0.08757,0.1362,Rough
B,24.87,0.1804,687.3,0.08992,0.0594,Rough
B,17.67,0.2241,513.7,0.1005,0.06155,Smooth
B,13.88,0.1316,432.7,0.08372,0.02688,Rough
B,13.38,0.05233,492.1,0.09667,0.01288,Smooth
B,17.74,0.03732,582.7,0.09198,0.01063,Rough
B,11.09,0.02884,363.7,0.08518,0.01236,Rough
M,49.11,0.0612,431.1,0.09968,0.02685,Smooth
B,20.56,0.1565,633.1,0.06576,0.02475,Rough
B,20.56,0.04158,334.2,0.1015,0.02495,Smooth
M,133,0.6121,1217,0.115,0.2197,Smooth
B,28.32,0.1904,471.3,0.08451,0.0683,Rough
M,130.8,0.4932,1247,0.108,0.2283,Smooth
B,10.08,0.08423,334.3,0.1068,0.02297,Smooth
B,22.93,0.1226,403.1,0.08853,0.03344,Rough
B,18.21,0.07239,417.2,0.07474,0.01974,Rough
B,15.5,0.0112,537.3,0.08511,0.001461,Rough
B,9.789,0.01472,246.3,0.07005,0.003681,Rough
B,20.39,0.01379,566.2,0.07376,0.002758,Rough
B,33.01,0.01824,530.6,0.08352,0.004559,Rough
B,11.28,0.07915,418.7,0.08814,0.01583,Rough
B,28.9,0.04746,664.9,0.07618,0.01447,Rough
B,25.18,0.1769,504.1,0.08794,0.04052,Rough
B,9.438,0.08324,409.1,0.08597,0.01367,Rough
B,17.81,0,221.2,0.1074,0,Smooth
B,12.69,0.01938,481.6,0.08511,0.004473,Rough
B,15.82,0.04116,461.4,0.07734,0.01123,Rough
M,48.9,0.3853,1027,0.09746,0.113,Smooth
B,24.2,0.4609,244.5,0.09968,0.1975,Smooth
B,31.16,0.02237,477.3,0.07557,0.01342,Rough
B,22.68,0.1898,324.2,0.1061,0.06726,Smooth
M,74.85,0.2606,1274,0.0802,0.1155,Rough
B,16.57,0.1791,504.8,0.1134,0.038,Smooth
M,69.06,0.5344,1264,0.117,0.2565,Smooth
B,19.01,0.1167,457.9,0.08673,0.01994,Rough
B,17.61,0.102,489.9,0.1028,0.03193,Smooth
B,23.92,0.05307,616.5,0.09309,0.01765,Rough
B,16.97,0.007732,446,0.07683,0.001546,Rough
M,44.41,0.3597,813.7,0.1169,0.1478,Smooth
M,57.72,0.3344,826.8,0.1165,0.1799,Smooth
M,33.27,0.4956,793.2,0.09491,0.1204,Rough
B,20.65,0.3439,514,0.09579,0.07107,Rough
B,19.62,0.01335,387.3,0.1054,0.005006,Smooth
B,15.07,0.005518,390,0.08306,9.737e-4,Rough
B,13.24,0.03619,464.4,0.08313,0.007756,Rough
M,87.17,0.392,918.6,0.1119,0.1508,Smooth
B,14.41,0.145,514.3,0.09462,0.03738,Rough
M,88.25,0.4634,1092,0.09116,0.106,Rough
B,16.85,0.1055,310.8,0.1007,0.02511,Smooth
M,164.1,0.4819,1747,0.1069,0.2308,Smooth
B,32.14,0.3755,641.2,0.09751,0.08007,Smooth
B,12.07,0.4341,280.5,0.08481,0.08422,Rough
B,10.8,0.2299,373.9,0.1033,0.05397,Smooth
M,67.66,0.4734,1194,0.09797,0.1863,Smooth
B,24.53,0.1087,420.3,0.115,0.04006,Smooth
B,19.33,0.07162,321.6,0.09882,0.03581,Smooth
B,18.02,0.04506,445.3,0.08386,0.00751,Rough
B,29.06,0.2151,668.7,0.08875,0.04608,Rough
B,12.25,0.09823,402.7,0.09076,0.02587,Rough
B,26.65,0.03122,426.7,0.1158,0.01171,Smooth
B,26.03,0.03046,421,0.07561,0.008306,Rough
M,51.22,0.6872,758.6,0.1243,0.2914,Smooth
M,153.1,0.6451,2010,0.1149,0.3368,Smooth
M,63.37,0.4029,716.6,0.1024,0.1235,Smooth
B,28.84,0.1201,384.6,0.07274,0.04505,Rough
B,27.49,0.2388,485.8,0.0876,0.103,Rough
B,21.57,0.2573,512,0.1082,0.09603,Smooth
B,20.74,0.05285,593.7,0.08743,0.01502,Rough
B,30.18,0.09441,241,0.08293,0.04721,Rough
B,30.48,0.1144,278.6,0.1009,0.0271,Smooth
B,28.3,0.003581,491.9,0.07436,0.001194,Rough
B,20.98,0.1212,546.1,0.08582,0.03344,Rough
B,17.26,0.1255,496.6,0.09676,0.02688,Smooth
B,33.58,0.1663,838.1,0.09686,0.05862,Smooth
B,13.22,0.1364,552.4,0.07937,0.02181,Rough
M,72.44,0.2702,1293,0.0915,0.09799,Rough
M,103.6,0.3703,1234,0.09905,0.1641,Smooth
B,18.57,0.2413,458.4,0.09231,0.04392,Rough
M,224.1,0.2861,1546,0.09384,0.1168,Rough
M,130.2,0.4756,1482,0.1063,0.2448,Smooth
M,45.5,0.7087,840.4,0.09742,0.1811,Smooth
B,17.72,0.1362,711.8,0.07963,0.03393,Rough
M,39.06,0.4024,1386,0.1001,0.1932,Smooth
M,77.02,0.4159,1335,0.09446,0.1527,Rough
B,14,0.1346,579.1,0.08302,0.02556,Rough
B,14.91,0.2114,788.5,0.0988,0.06651,Smooth
B,7.228,0.603,338.3,0.09073,0.228,Rough
B,14.91,0.07934,562.1,0.07517,0.01271,Rough
B,11.35,0.2569,580.6,0.08268,0.04249,Rough
M,13.99,0.8402,361.6,0.1216,0.1689,Smooth
B,16.04,0.2247,386.3,0.1237,0.079,Smooth
B,11.68,0.1553,372.7,0.07987,0.03546,Rough
B,9.549,0.2912,447.8,0.06935,0.07943,Rough
B,19.2,0.3206,462.9,0.1042,0.05892,Smooth
B,15.26,0.2866,541.8,0.08363,0.05077,Rough
M,33.01,0.2675,664.7,0.08682,0.0839,Rough
B,19.96,0.3076,462,0.08108,0.06839,Rough
B,23.12,0.1091,596.6,0.07026,0.02045,Rough
B,22.97,0.3021,392,0.08365,0.1007,Rough
M,70.1,0.3829,1174,0.101,0.1856,Smooth
B,11.88,0.08615,321.6,0.09996,0.01923,Smooth
B,28.85,0,234.3,0.1039,0,Smooth
M,66.91,0.5553,744.7,0.116,0.1891,Smooth
M,80.99,0.7053,1407,0.1167,0.281,Smooth
B,22.22,0.1603,446.2,0.1029,0.04783,Smooth
B,12.67,0.0846,609.1,0.08045,0.02681,Rough
B,19.29,0.3438,558.1,0.1059,0.0858,Smooth
B,30.57,0.1901,508.3,0.08044,0.0739,Rough
B,12.98,0.2079,378.2,0.07741,0.02712,Rough
B,25.06,0.1449,431.9,0.09087,0.02853,Rough
M,41.51,0.9034,994,0.123,0.3189,Smooth
B,18.95,0.1514,442.7,0.08872,0.02606,Rough
B,20.21,0.1604,525.2,0.07351,0.04057,Rough
B,11.36,0.181,507.6,0.09879,0.03296,Smooth
B,30.15,0.04921,469.1,0.08682,0.02109,Rough
B,25.78,0.1412,370,0.1004,0.04944,Smooth
B,21.83,0.231,800,0.09495,0.055,Rough
B,41.24,0.1838,514.5,0.07551,0.06126,Rough
M,49.81,0.3301,991.7,0.1036,0.1201,Smooth
B,25.79,0.1377,466.1,0.08685,0.03211,Rough
B,13.66,0.1811,399.8,0.08858,0.02783,Rough
B,13.54,0.1067,373.2,0.1077,0.03046,Smooth
B,6.802,0.1868,268.8,0.07969,0.03735,Rough
B,28.51,0.3114,693.7,0.08515,0.06859,Rough
M,45.38,0.1547,719.5,0.0832,0.04686,Rough
B,19.53,0.1164,433.8,0.09773,0.02555,Smooth
B,25.17,0.06141,271.2,0.1044,0.02047,Smooth
M,176.5,0.4211,803.1,0.112,0.1522,Smooth
B,17.37,0.09385,495,0.08785,0.0236,Rough
B,18.99,0.03582,380.3,0.1018,0.008955,Smooth
B,20.3,0.256,409.7,0.08546,0.05485,Rough
B,49.45,0.3219,656.1,0.1031,0.145,Smooth
B,15.89,0.2302,408.2,0.1088,0.07097,Smooth
B,19.36,0.366,575.3,0.09057,0.09657,Rough
B,43.52,0.02085,289.7,0.1075,0.008934,Smooth
B,11.6,0.01235,307.3,0.08117,0.00247,Rough
B,20.77,0.2939,333.6,0.09816,0.06335,Smooth
B,20.2,0.1927,359.9,0.08801,0.03614,Rough
B,9.704,0.0458,381.1,0.08151,0.01369,Rough
B,23.24,0.03469,501.3,0.07896,0.01402,Rough
M,24.19,0.9019,685,0.09947,0.2733,Smooth
B,15.43,0.2403,467.8,0.1054,0.07741,Smooth
M,52.49,0.5308,1250,0.1133,0.2133,Smooth
M,103.9,0.3912,1110,0.1018,0.1594,Smooth
B,23.92,0.122,673.7,0.08924,0.03346,Rough
M,18.85,0.4069,599.5,0.106,0.1126,Smooth
B,26.5,0.07127,509.2,0.09136,0.01797,Rough
B,32.74,0.1117,611.2,0.08458,0.03534,Rough
B,29.63,0.04753,592.6,0.08684,0.01342,Rough
B,19.25,0.0626,606.5,0.07966,0.02087,Rough
B,18.15,0.4779,371.5,0.08915,0.09457,Rough
M,58.38,0.5036,928.8,0.08331,0.1204,Rough
B,29.34,0.03517,585.9,0.08817,0.01055,Rough
B,13.12,0.03986,340.9,0.08142,0.01993,Rough
M,35.77,0.429,990,0.08947,0.109,Rough
B,19.39,0.1609,441.3,0.103,0.05441,Smooth
M,43.95,0.6399,981.6,0.09997,0.1698,Smooth
B,19.75,0.206,674.8,0.09179,0.04069,Rough
B,23.04,0.3779,659.7,0.08388,0.08817,Rough
M,81.89,0.4399,1384,0.09684,0.1572,Smooth
B,20.24,0.3218,432,0.06613,0.08777,Rough
M,56.18,0.3977,1191,0.1032,0.1655,Smooth
B,13.86,0.1811,442.5,0.08437,0.04055,Rough
B,25.7,0.1373,644.2,0.1099,0.06895,Smooth
B,13.32,0.1887,492.9,0.08583,0.02966,Rough
B,28.93,0.07003,557.2,0.09245,0.02819,Rough
B,23.13,0.2923,415.1,0.09357,0.0716,Rough
B,17.58,0.139,537.9,0.08791,0.02772,Rough
B,21.19,0.04462,520.2,0.08369,0.01206,Rough
B,11.28,0.0719,290.9,0.07984,0.01541,Rough
M,115.2,0.2639,930.9,0.09898,0.1007,Smooth
M,542.2,0.6833,2501,0.1084,0.3635,Smooth
B,20.52,0.1472,646.1,0.06995,0.03476,Rough
B,12.89,0.186,412.7,0.08508,0.03367,Rough
B,16.89,0.1876,537.3,0.07466,0.04859,Rough
B,23.81,0.6556,542.9,0.08284,0.101,Rough
B,27.4,0.4504,536.9,0.08675,0.1085,Rough
B,20.98,0.06409,286.3,0.08311,0.01479,Rough
M,104.9,0.5165,980.5,0.09289,0.2136,Rough
B,27.85,0.3186,408.8,0.1175,0.102,Smooth
B,22.73,0.1277,289.1,0.08946,0.02948,Rough
B,44.96,0.05524,449.9,0.08752,0.02367,Rough
B,23.31,0.3151,686.9,0.08098,0.05539,Rough
B,35.13,0,465.4,0.07699,0,Rough
B,9.597,0.3365,358.9,0.1007,0.05115,Smooth
B,11.64,0.3476,506.9,0.0904,0.05835,Rough
B,31.01,0.2512,618.4,0.08931,0.05063,Rough
B,14.03,0.1384,599.4,0.06828,0.02224,Rough
B,14.34,0.2596,404.9,0.1046,0.05308,Smooth
M,33.12,0.5897,815.8,0.1026,0.2236,Smooth
B,16.26,0.162,455.3,0.09087,0.02916,Rough
B,28.41,0.1673,602.9,0.07991,0.02995,Rough
B,12.84,0.1848,546.3,0.1071,0.05786,Smooth
B,20.64,0.1742,571.1,0.0995,0.04548,Smooth
B,13.87,0.4004,747.2,0.1043,0.1191,Smooth
B,30.19,0.4896,476.7,0.09514,0.1544,Rough
B,19.98,0.2437,666,0.08641,0.05192,Rough
M,67.74,0.5936,1167,0.1089,0.2256,Smooth
B,27.57,0.149,420.5,0.1128,0.04279,Smooth
M,22.95,0.2477,857.6,0.07497,0.03649,Rough
B,18.04,0.123,466.5,0.08192,0.01714,Rough
B,50.95,0.1048,992.1,0.07838,0.04445,Rough
M,89.74,0.2544,1007,0.1001,0.117,Smooth
B,24.6,0.01674,477.3,0.07372,0.007173,Rough
B,26.07,0.07698,538.7,0.07335,0.018,Rough
B,21.84,0.17,680.9,0.09587,0.06824,Rough
B,18.4,0.3582,485.6,0.1076,0.08017,Smooth
B,11.91,0.2028,480.1,0.08928,0.03609,Rough
M,95.77,0.3533,1068,0.1012,0.1491,Smooth
M,75.09,0.5179,1320,0.1085,0.2188,Smooth
B,34.84,0.1856,689.4,0.09883,0.07721,Smooth
M,39.05,0.3381,595.9,0.1162,0.1357,Smooth
B,18.49,0.1889,476.3,0.1158,0.05928,Smooth
M,180.2,0.3794,1682,0.09342,0.1676,Rough
B,20.04,0.2099,248.7,0.1634,0.0973,Smooth
B,17.67,0.2913,272.5,0.1255,0.1188,Smooth
B,12.58,0.3535,453.1,0.1096,0.08175,Smooth
B,12.3,0.1256,366.5,0.1194,0.04063,Smooth
B,20.67,0.1947,819.8,0.09427,0.05526,Rough
M,32.52,0.5911,731.3,0.1183,0.203,Smooth
B,13.04,0.269,426,0.08099,0.06726,Rough
B,20.72,0.1101,680.7,0.08472,0.03416,Rough
M,33.67,0.5106,556.7,0.1106,0.1445,Smooth
B,37.11,0.2492,658.8,0.09832,0.08222,Smooth
M,38.49,0.2866,701.9,0.09215,0.07486,Rough
B,18.19,0.1624,391.2,0.1049,0.04302,Smooth
M,67.36,0.3759,1052,0.1068,0.1569,Smooth
M,59.7,0.4185,1214,0.1037,0.1411,Smooth
B,34.37,0.1246,493.1,0.1218,0.04825,Smooth
B,28.62,0.1423,493.8,0.1125,0.0388,Smooth
B,19.63,0.09996,257.8,0.1371,0.03332,Smooth
M,139.9,0.4658,1841,0.103,0.231,Smooth
B,9.332,0.02533,388.1,0.08511,0.005067,Rough
B,26.45,0.1935,571,0.09916,0.05385,Smooth
B,15.24,0.08434,293.2,0.09492,0.0233,Rough
B,7.254,0.1754,221.3,0.1036,0.02565,Smooth
B,16.07,0.2654,551.1,0.1075,0.04201,Smooth
B,8.955,0.1791,468.5,0.09003,0.02958,Rough
B,44.74,0.1559,594.2,0.1248,0.101,Smooth
B,18.54,0.1622,445.2,0.11,0.03781,Smooth
B,30.66,0.1366,422.9,0.1073,0.05282,Smooth
B,15.34,0.2758,416.2,0.1016,0.042,Smooth
B,17.25,0.1206,575.5,0.09277,0.01752,Rough
M,100.4,0.3092,1299,0.09156,0.1523,Rough
B,10.09,0.2123,365.6,0.09687,0.05263,Smooth
M,87.78,0.4433,1308,0.1046,0.2085,Smooth
M,18.54,0.4234,629.8,0.1038,0.1463,Smooth
B,20.95,0.1395,406.4,0.1236,0.04515,Smooth
B,19.14,0,178.8,0.08098,0,Rough
B,11.73,0.3393,170.4,0.08668,0.09252,Rough
B,20.86,0.1797,402.9,0.09984,0.06737,Smooth
B,23.11,0.404,656.4,0.08837,0.1009,Rough
B,27.41,0.1611,668.6,0.08275,0.04105,Rough
B,17.85,0.1062,538.4,0.08671,0.02987,Rough
B,23.12,0.1377,584.8,0.09578,0.03688,Rough
B,31.24,0.1049,573.2,0.09246,0.02974,Rough
B,12.97,0.04384,324.9,0.09434,0.01012,Rough
B,7.326,0.1783,320.8,0.08877,0.04358,Rough
B,18.24,0.0935,285.7,0.08491,0.02337,Rough
B,33,0.06194,361.6,0.08192,0.01548,Rough
B,20.67,0,360.5,0.07431,0,Rough
B,17.85,0.1564,378.4,0.09566,0.04824,Rough
B,18.76,0.08653,507.9,0.08276,0.01997,Rough
B,17.86,0.07993,264,0.0924,0.03996,Rough
B,16.83,0.2439,514.3,0.08123,0.06195,Rough
B,14.46,0.2,321.4,0.0903,0.05999,Rough
B,16.8,0.01005,311.7,0.1003,0.005025,Smooth
B,29.11,0,271.3,0.08123,0,Rough
B,19.54,0.3662,657.1,0.08473,0.1029,Rough
B,16.97,0.363,403.5,0.09261,0.1112,Rough
B,29.84,0.1326,600.4,0.09929,0.04462,Smooth
B,22.81,0,386,0.07449,0,Rough
M,22.65,1.17,716.9,0.1048,0.255,Smooth
M,118.8,0.6599,1347,0.1099,0.3174,Smooth
M,158.7,0.4107,1479,0.111,0.2439,Smooth
M,99.04,0.3215,1261,0.0978,0.144,Smooth
M,48.55,0.3403,858.1,0.08455,0.09251,Rough
M,86.22,0.9387,1265,0.1178,0.3514,Smooth
B,19.15,0,181,0.05263,0,Rough
